Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
SB: Unsubscribe To Local Message,cSB4333,"Upon receipt of a Request, the cFE shall remove the route for the requested local message ID on the requested pipe.","Subscription management, where unsubscribe is to a message local to this cFE instance. Typically used by software bus network applications."
SB: Pass Message,cSB4334,"Upon receipt of a Request, the cFE shall route the requested message to all subscribed pipes without updating the sequence count.",Message publication capability without modifying the message.
SB: Compare Message ID,cSB4335,"Upon receipt of a Request, the cFE shall provide the result of comparing the requested message IDs as equal or not equal.",Message management utility.
SB: Message ID to Integer,cSB4336,"Upon receipt of a Request, the cFE shall provide the integer conversion of the requested message ID.",Message management utility.
SB: Integer to Message ID,cSB4337,"Upon receipt of a Request, the cFE shall provide the message ID conversion of the provided integer.",Message management utility.
SB: Get Pipe Name,cSB4338,"Upon receipt of a Request, the cFE shall provide the pipe name given the requested pipe ID.",Pipe management utility.
SB: Get Pipe ID By Name,cSB4339,"Upon receipt of a Request, the cFE shall provide the pipe ID for the requested pipe name.",Pipe management utility.
SB: Zero Copy Get Pointer,cSB4340,"Upon receipt of a Request, the cFE shall provide a pointer to support routing a zero copy message.",Zero copy message passing support for reduced overhead at the cost of additional pointer management.
SB: Zero Copy Release Pointer,cSB4341,"Upon receipt of a Request, the cFE shall release the requested zero copy pointer.",Zero copy message passing support for reduced overhead at the cost of additional pointer management.
SB: Zero Copy Send Message,cSB4342,"Upon receipt of a Request, the cFE shall route the requested zero copy message to all subscribed pipes.",Zero copy message passing support for reduced overhead at the cost of additional pointer management.
SB: Zero Copy Pass Message,cSB4343,"Upon receipt of a Request, the cFE shall route the requested zero copy message to all subscribed pipes without updating the message sequence counter.",Zero copy message passing support for reduced overhead at the cost of additional pointer management.
SB: Get Packet Type,cSB4344,"Upon receipt of a Request, the CFE shall provide the message packet type.",Provides abstraction for apps to get the packet type (command or telemetry).
SB: Validate Message ID,cSB4345,"Upon receipt of a Request, the cFE shall provide the validation status of the message ID.",Provides abstraction for apps to validate a message ID.
SB: Set Packet Type,cSB4346,"Upon receipt of a Request, the CFE shall set the message packet type.",Provides abstraction for apps to set the packet type (command or telemetry).
SB: Get Header Field,cSB4347,"Upon receipt of a Request, the CFE shall provide the requested message header field.",Provides abstraction for apps to get implementation defined header fields.
SB: Set Header Field,cSB4348,"Upon receipt of a Request, the CFE shall set the requested message header field.",Provides abstraction for apps to set implementation defined header fields.
SB: Get Sequence Count,cSB4349,"Upon receipt of a Request, the CFE shall provide the message sequence count.",Provides abstraction for apps to get the message sequence count.
SB: Set Sequence Count,cSB4350,"Upon receipt of a Request, the CFE shall set the message sequence count.",Provides abstraction for apps to set the message sequence count.
SB: Get Next Sequence Count,cSB4351,"Upon receipt of a Request, the CFE shall provide the next message sequence count.",Provides abstraction for apps to get the next message sequence count value such that rollovers are handled based on the implemented field size.
SB: Get Type From MsgId,cSB4352,"Upon receipt of a Request, the CFE shall provide the message type associated with the requested message ID.","Provides abstraction for apps to get the message type given only the message ID.  Supports a variety of implementations allowing for efficient message ID use (supports bit, range, table, or other logic)."
SB: Initialize Routing On Power On Reset,cSB4500,Upon a Power-on Reset the cFE shall initialize the Routing Information and clear all error counters.,The cFE must initialize to a known state.
SB: Initialize Routing On Processor Reset,cSB4501,Upon a Processor Reset the cFE shall initialize the Routing Information and clear all error counters,The cFE must initialize to a known state.
TBL: Load Inactive Table From File,cTBL6000,Upon receipt of Command the cFE shall load an Inactive Table Image with the contents of the Command specified File.,Loading from a file allows for multiple versions of a table to be stored on board and loaded to the active table when appropriate. The file header will identify the Table that the file contents are for.
TBL: Load Inactive Table From File - Partial Load,cTBL6000.1,"If the Command specified file contains only a portion of the Table, the cFE shall first load an Inactive Table Image with the contents of the Active Table Image and then load the contents of the Command specified File.","A Partial Table load capability is useful when dealing with large Tables.  It helps to ensure that additional parameters are not unintentionally modified, reduces command time required to perform a Table update and is a feature that has been used on previous missions."
TBL: Load Inactive Table From File - Greater Than Max Size,cTBL6000.2,"If the number of data bytes contained in the file is greater than the maximum size of the table, the load shall be aborted and an event message shall be generated.",This is a sanity check to make sure that the ground generated table load does not include more data than a table can handle.
TBL: Load Inactive Table From File - Header Size Mismatch,cTBL6000.3,"If the number of bytes specified in the file's header is not equal to the number of data bytes contained in the file, the load shall be aborted and an event message be generated.",This is another sanity check to make sure that the number of bytes specified in the file header is equal to the number of data bytes in the file.
TBL: Load Inactive Table From File - Multiple Partial Loads,cTBL6000.4,The Inactive Table Image shall only be loaded with the contents of the Active Table if the Inactive Table Image has not been initialized.,Want to be able to perform successive partial table loads.  The first partial load of a table requires that the inactive table image be initialized with the active table image (see cTBL6000.2).  Any subsequent loads should be made with the existing contents of the Inactive Buffer.
TBL: Load Inactive Table From File - Dump Only,cTBL6000.5,If the specified table is defined as Dump Only then the command shall be rejected and an event message be generated.,Dump only tables can't be loaded.
TBL: Dump To File,cTBL6001,Upon receipt of Command the cFE shall dump the Command specified Active or Inactive Table contents to a Command specified File.,Dumping the contents of a table to a file simplifies the telemetering of Table contents.  The file transfer protocol between the ground and the spacecraft is capable of handling variable sized files.  The telemetering of Table contents directly to ground.
TBL: Validate,cTBL6002,Upon receipt of Command the cFE shall determine the validity of the contents of either the Active or Inactive Table Image of the Command specified Table.,"Operations needs to verify the contents of an Inactive Table before committing it. Similarly, operations personnel may need to re-validate or identify the contents of an Active Table."
TBL: Validate - Compute Data Integrity Check Value,cTBL6002.1,The cFE shall compute a Data Integrity Check Value on the contents of either the Active or Inactive Table Image of the Command specified Table and report the result in telemetry.,A Data Integrity Check Value can provide a quick method of validating the proper contents of a Table without performing a Table Dump and Comparison.
TBL: Validate - App Content,cTBL6002.2,The cFE shall Request an Application to validate the contents of either the Active or Inactive Table Image of the Command specified Table and report the result in telemetry.,A Table Validation function provided by the Application can verify that the data content of a Table is reasonable.
TBL: Activate,cTBL6003,Upon receipt of Command the cFE shall make an Inactive Table Image of the Command specified Table the Active Table Image.,"A Commit Command is useful by allowing modifications and the verification of those modifications to be accomplished in the background while an Application continues to use its previous Table data.  Then, upon Command, the new Table data is made Active."
TBL: Activate - Validate,cTBL6003.1,The cFE shall reject an activate table command for a table that has a validation function but has not been validated.,Validation functions are there for a reason so want to prevent loading invalid tables.  Inactive buffer retains the data so that the ground can dump the contents to see why the validation failed.
TBL: Activate - Validate - Failure,cTBL6003.1.1,"If the Inactive Table Image fails validation, the Inactive Table Image shall not be loaded into the Active Table Image.",Prevent loading of an invalid table. Note that the Inactive Table still contains the table image so that the ground can dump it.
TBL: Activate - Validate - No Validation Function,cTBL6003.1.2,"If a Table Validation Function does not exist for the specified Table, the Table shall be considered valid.","If there is no validation function, assume the table has good data in it (no way to check otherwise)."
TBL: Write Table Registry To File,cTBL6005,Upon receipt of Command the cFE shall write the contents of the Table Registry to a file.,"The Table Registry will provide a list of the Tables currently registered, their attributes (double or single-buffered, dump-only, etc), a history of what files were last loaded into the Active Table Images, what time the load occurred and whether the image has been modified via Partial Table Load."
TBL: Write Table Registry To File - Default File Name,cTBL6005.1,"If a file is not specified, the cFE shall use the `<PLATFORM_DEFINED>` filename.",Want to provide a default in the event that a user does not want to specify one.
TBL: Table Registry Message,cTBL6006,Upon receipt of Command the cFE shall telemeter the contents of the Table Registry associated with a Command specified Table.,"Operations personnel may wish to see the attributes (double or single-buffered, dump-only, etc), a history of what file(s) was/were last loaded into the Active Table Image, what time the load(s) occurred, etc."
TBL: NOOP Event,cTBL6007,Upon receipt of Command the cFE shall generate a NO-OP event message.,This command is useful as a general sub-system aliveness test.
TBL: Zero Counters,cTBL6008,"Upon receipt of Command the cFE shall set the following counters reported in telemetry to zero:

- Valid Command Counter
- Invalid Command Counter
- Number of Validation Requests
- Number of successful Table Validations
- Number of Unsuccessful Validations
- Number of Completed Validations",This command is a common feature in heritage sub-system software design.
TBL: Valid Command Counter,cTBL6009,"Upon receipt of valid command, the cFE shall increment the valid command counter.",The ground needs the capability to verify that the command was received and accepted by the cFE.  Details of valid commands are documented in the cFE User's Guide.
TBL: Invalid Command Counter,cTBL6010,"Upon receipt of an invalid command, the cFE shall in increment the invalid command counter.",The ground needs an indicator if a command is rejected by the cFE. Details of what makes a command invalid are documented in the cFE User's Guide.
TBL: Housekeeping Message,cTBL6011,"Upon receipt of a Message, the cFE shall generate a housekeeping message that includes the following Table Services items:

- Valid Command Counter
- Invalid Command Counter
- Number of Tables Currently Registered
- Table Identifier of Last Table Modified
- Time of Last Table Modification
- Source Filename of Last Table Load
- Destination Filename of Last Table Dump
- Table Identifier of Commanded Data Integrity Check
- Commanded Data Integrity Check Value
- Commanded Table Verification Function Result
- Number of unused Shared Buffers
- Table Name of Last Table Load",Generate housekeeping message for system awareness and management.
TBL: Abort Load,cTBL6012,"Upon receipt of Command the cFE shall abort the loading of the specified Table.
","The ground needs a way to clear the inactive buffer of all loads in the event, for example, that erroneous values were loaded to the table by the ground. Note that once a table is activated, it cannot be aborted (significant for double-buffer tables)."
TBL: Abort Load - Release Shared Buffer,cTBL6012.1,"If the Table buffering characteristics for the specified Table indicate that it is a Single-buffered Table, then the allocated shared buffer shall be released.",The shared buffer being used for this table load should be placed back into the pool of available shared buffers.
TBL: Abort Load - Mark Inactive Buffer Uninitialized,cTBL6012.2,"If the Table buffering characteristics for the specified Table indicate that it is a Double-buffered table, then the inactive buffer shall be marked as uninitialized.",Need to make sure that the table image gets re-initialized with the contents of the active buffer prior to a subsequent load after an abort command is sent (see cTBL6000.4)
TBL: Abort Load - No Loads Pending,cTBL6012.3,The Table Registry shall indicate that there are no loads pending for the specified Table.,Maintain current table status in table registry.
TBL: Delete CDS,cTBL6013,Upon receipt of a Command the cFE shall delete the requested table CDS data.,CDS management for a table no longer in use.
TBL: Delete CDS - Table In Use,cTBL6013.1,If the specified Table is in use the command shall be rejected and an event message generated.,Reject if table is in use.
TBL: Delete CDS - Not Critical Table,cTBL6013.2,"If the specified table is not a critical table, the command shall be rejected and an event message generated.",Reject when not a critical table.
TBL: Delete CDS - Already Deleted,cTBL6013.3,If the specified Table CDS has already been deleted the command shall be rejected and an event message generated.,Reject if table CDS has already been deleted.
TBL: Create,cTBL6300,"Upon receipt of Request, the cFE shall create a zero filled Table Image with the Request specified name, size, buffering characteristics (single or double-buffer), dump-only characteristics, criticality and Table Validation Function address.","Supports the cFE's dynamic Application model. Tables will be able to be either single or double-buffered.  Double buffering will allow instantaneous updates from the Application's point of view and will be useful for interrupt service routines, etc.  However, double buffering will consume more memory resources.  The Table Validation Function is optionally provided by the Application and is called when a Command to Validate the table is made. Note that a zero filled image will not be created if the Application specifies an address for the dump-only table (see cTBL6300.1)."
TBL: Create - App Supplied Address For Dump Only,cTBL6300.1,The cFE shall allow an Application to specify an address as the one and only buffer for a dump-only Table.,"Heritage code allowed for dump only tables to come from an address instead of a true table.  In this case, table services does not allocate any memory for the dump only table.  This is referred to an Application-Defined-Address-Table."
TBL: Initialize Contents,cTBL6302,"Upon receipt of Request, the cFE shall initialize the contents of the Request specified Table Image with the contents of the Request specified File.",Supports the cFE's dynamic Application model.
TBL: Initialize Contents - Greater Than Max Size,cTBL6302.1,"If the Request specified File contains more data than the size of the Request specified Table, the Table Image will not be initialized and an Event Message shall be generated.","If a File contains more data than memory allows, there is a high likelihood that the Application is expecting the data to be in a different format.  Additionally, the cFE would not know whether to throw out the last part or the first part of the data."
TBL: Initialize Contents - Partial,cTBL6302.2,"If the Request specified File contains less data than the size of the Request specified Table, the first portion of the Table Image will be initialized with the contents of the File and an Event Message shall be generated.",Some tables may allocate more space than is necessary at all times. The Event Message will serve as a warning but not prevent the initialization of the Table.
TBL: Provide ID,cTBL6303,"Upon receipt of Request, the cFE shall provide the calling Application with a unique identifier of an existing Table Image.",Some Applications will not want to create a Table but obtain a handle to one that is created by another Application.
TBL: Free Table Resources,cTBL6304,"Upon receipt of Request, the cFE shall free resources allocated for the Request specified Table.",Supports the cFE's dynamic Application model.
TBL: Provide Data Address,cTBL6305,"Upon receipt of Request, the cFE shall provide the calling Application with the address of the Request specified Table data.",The Table Service 'owns' all Tables and Applications must ask for the current address of the data because the Table Service may move the Table as updates are made.
TBL: Provide Data Address - Lock Contents,cTBL6305.1,"Upon providing a calling Application with the address of a Table's data, the cFE shall lock the contents of the Table to prevent modification.","The Table Service must wait for an Application to be done with the contents of the Table before considering modifying its contents.  This ensures data integrity while the Application accesses the Table contents. More than one Application can access a Table.  Therefore, a reference count will be necessary to ensure that all access is complete before a Table can be modified.
"
TBL: Provide Data Address - Modified Notification,cTBL6305.2,"If a Table has been modified since the last Table address request, the cFE shall notify the calling Application that the Table has been modified.",An Application may need to know when the contents of a Table have been updated.
TBL: Unlock,cTBL6306,"Upon receipt of Request, the cFE shall unlock the contents of the Request specified Table.","The Table Service must wait for an Application to be done with the contents of the Table before considering modifying its contents.  This ensures data integrity while the Application accesses the Table contents. More than one Application can access a Table.  Therefore, a reference count will be necessary to ensure that all access is complete before a Table can be modified."
TBL: Update With Pending Load,cTBL6308,"Upon receipt of Request, the cFE shall update the request specified Table if a load is pending and it is unlocked.",This gives control to the Application as to when the table update occurs.
TBL: Update With Pending Load - Locked,cTBL6308.1,"If a Table is locked when an update Request is made, an appropriate error code shall be returned to the calling Application and the update shall not occur.",The Application should be made aware that the table is not being updated because it is locked.
TBL: Provide Table Info,cTBL6309,"Upon receipt of Request, the cFE shall provide the following information to the calling Application for the specified Table:

- Size of the table
- Number of Users the access to the table (sharing)
- Filename of the last file used to modify the table
- File creation time of last file used to modify the table
- Time of last modification
- Flag indicating if the Table has been initialized
- Flag indicating if the Table is dump only
- Flag indicating if the Table has a dedicated buffer
- Flag indicating if the table is maintained in the Critical Data Store",Applications such as Checksum need to obtain info such as size of the table.    The API is a more generic solution.
TBL: Pending Action Status,cTBL6310,"Upon receipt of Request the cFE shall indicate if the specified table has a validation, update, or dump pending.","Applications must periodically check to see if they need to perform updates, validations or dumps."
TBL: Provide Data Addresses,cTBL6311,"Upon receipt of Request, the cFE shall provide the calling Application with the addresses of the data for the tables requested if more than one table is needed.",Applications may need to work with more than one table at a time.
TBL: Provide Data Addresses - Lock Contents,cTBL6311.1,"Upon providing a calling Application with the addresses of a Tables' data, the cFE shall lock the contents of the Tables to prevent modification.",The Table Service must wait for an Application to be done with the contents of the Table before considering modifying its contents.  This ensures data integrity while the Application accesses the Table contents.
TBL: Provide Data Addresses - Modified Notification,cTBL6311.2,"If at least one Table has been modified since the last Table addresses request, the cFE shall notify the calling Application that a Table has been modified.","An Application may need to know when the contents of a Tables has been updated; the Application just won't know which one."
TBL: Unlocks,cTBL6312,"Upon receipt of Request, the cFE shall unlock the contents of the Request specified Tables.",Applications may need to work with more than one table at a time.
TBL: Validate,cTBL6313,Upon receipt of a Request the cFE shall determine the validity of the contents of either the Active or Inactive Table Image of the requested Table if a validation request is pending.,Performs table validation if a validation request is pending. This check is nominally performed during table management when validation has been requested but can performed independent of table management.
TBL: Dump To Buffer,cTBL6314,Upon receipt of a Request the cFE shall dump the requested Table to a buffer if a dump request is pending.,Performs table dump to a buffer if a dump request is pending. This check is nominally performed during table management when a dump has been requested but can performed independent of table management.
TBL: Modified,cTBL6315,"Upon receipt of a Request, the cFE shall perform the following actions on a Table:

- Update critical table data in CDS
- Update the time of last modification
- Update the CRC
- Update the last loaded filename with modified indicator
- Flag the update notification for other applications",Capability to request cFE to perform maintenance on a table that has been modified by an application.
TBL: Manage,cTBL6316,"Upon receipt of a Request, the cFE shall perform the following actions on a table:

- Validate Table if request pending
- Dump Table if request pending
- Update Table if request pending",Capability to process standard pending requests on a table.
TBL: Free Resources On Power On Reset,cTBL6500,Upon a Power-on Reset all Table resources shall be freed.,The Table Service cannot assume the contents of any Table is legitimate after a reset.
TBL: Free Resources On Processor Reset,cTBL6501,Upon a Processor Reset all Table resources shall be freed.,The Table Service cannot assume the contents of any Table is legitimate after a reset.
TBL: Free Resources On Processor Reset - Preserve Critical,cTBL6501.1,If the Table is a critical table then the contents of the Table shall be preserved.,Goal of a processor reset is to preserve certain data to facilitate recovery.
TIME: Housekeeping Message,cTIME2000,"Upon receipt of a Message, the cFE shall generate a housekeeping message that includes the following Time Services items:

- Time Status
- MET
- STCF
- Leap Seconds
- STCF continuous adjustment value.",Generate housekeeping message for system awareness and management.
TIME: NOOP Event,cTIME2001,Upon receipt of Command the cFE shall generate a NO-OP event message.,This command is useful as a general sub-system aliveness test.
TIME: Zero Counters,cTIME2002,Upon receipt of Command the cFE shall set to zero all counters reported in Time Services telemetry.,This command is a common feature in heritage sub-system software design.
TIME: Valid Command Counter,cTIME2003,"Upon receipt of valid command, the cFE shall increment the valid command counter.",The ground needs the capability to verify that the command was received and accepted by the cFE.  Details of valid commands are documented in the cFE User's Guide.
TIME: Invalid Command Counter,cTIME2004,"Upon receipt of an invalid command, the cFE shall in increment the invalid command counter.",The ground needs an indicator if a command is rejected by the cFE. Details of what makes a command invalid are documented in the cFE User's Guide.
TIME: Set Leap Seconds,cTIME2005,Upon receipt of Command the cFE shall set the number of Leap Seconds to the Command-specified value.,The decision to introduce a leap second in UTC is the responsibility of the International Earth Rotation Service (IERS).  The count of Leap Seconds has been incremented about every 500 days since 1972.  It is therefore likely that a mission will need to update.
TIME: Set STCF,cTIME2006,Upon receipt of Command the cFE shall set the STCF to the Command specified value.,"The cFE must be provided with the appropriate correlation factor, that when combined with the current MET and Leap Seconds values, will result in current time. Historically this command has been referred to as 'jam loading' time."
TIME: Update STCF Given Current Time,cTIME2007,Upon receipt of Command the cFE shall compute a new value for STCF using the Command-specified value as current time.,"This command provides a useful alternative to setting the STCF explicitly, as the command does not require knowledge of the current MET value. If the default time format is TAI, the new value for STCF is the Command-specified time value less MET."
TIME: Delta Adjust STCF,cTIME2009,Upon receipt of Command the cFE shall make a continuous 1Hz delta adjustment to the STCF by the Command-specified value.,"Upon receipt of a Command to make a 'continuous' adjustment to the STCF, the cFE shall adjust the STCF each second by the Command-specified value. The commanded value is signed so a positive or negative adjustment may be made."
TIME: Switch Tone Signal Source,cTIME2010,Upon receipt of Command the cFE shall switch to the Command-specified Tone Signal source.,The behavior of this command is hardware specific but provides the capability to command Tone Signal source selection if implemented at the hardware level.
TIME: Diagnostic Message,cTIME2011,Upon receipt of Command the cFE shall generate a Software Bus message that includes time diagnostic information.,"When testing or debugging the time application, more details about time services are required."
TIME: External Time Update Mode,cTIME2012,"Upon receipt of Command the cFE Time Services shall set the External Time Update Mode to the specified value, either use or ignore Tone Signal and Data when updating time.",Historically referred to as forced flywheeling.  This provides an easy way to test local time calculations and compare against external time or force internal timekeeping operationally.
TIME: External Time Update Mode - Ignore Updates,cTIME2012.1,The cFE shall propagate time internally when set to ignore external time updates.,Ignore external time updates and update time internally when configured to do so.  Will still accept Tone Signal and Data but won't update timekeeping based on the externally provided timing information.
TIME: External Time Update Mode - Use Updates,cTIME2012.2,The cFE shall update timekeeping when a Tone Signal and Data pair have been received when set to use external time updates.,"Use external time updates to update timekeeping values when configured to do so.  Timekeeping in this context is intentionally vague since it depends on system mode, configuration and hardware implementation.  This requirement just covers using the external data, not how exactly it is used."
TIME: Add To SCTF,cTIME2013,Upon receipt of Command the cFE shall add the Command specified value to SCTF.,One-time (aka jump) value added to SCTF supports time adjustment for time servers or time clients that are set to ignore external Tone updates.
TIME: Subtract From SCTF,cTIME2014,Upon receipt of Command the cFE shall subtract the Command specified value from SCTF.,One-time (aka jump) value subtracted from SCTF supports time adjustment for time servers or time clients that are set to ignore external Tone updates.
TIME: Tone Data Send,cTIME2015,"Upon receipt of a Message, the cFE shall generate a message that contains Tone Data.",Enables scheduler or another app to schedule time at tone data messages.
TIME: Tone Data Update,cTIME2016,"Upon receipt of a Message, the cFE shall update timekeeping if a paired Tone Signal has been received.","Once a Tone Data and Signal pair are received, timekeeping will be updated if External Data Use is enabled.  Paired statement allows for time is or time was configuration (Data before or after Signal)."
TIME: Tone Signal Update,cTIME2017,"Upon receipt of a Message, the cFE shall update timekeeping if paired Tone Data has been received.","Once a Tone Data and Signal pair are received, timekeeping will be updated if External Data Use is enabled.  Paired statement allows for time is or time was configuration (Data before or after Signal)."
TIME: Trigger 1Hz Cycle Processing,cTIME2018,"Upon receipt of a Message, the cFE shall trigger the 1 Hz processing cycle.","Allows message triggered 1 Hz processing to support synchronization.  Processing depends on configuration such as registered synchronization callbacks, virtualized MET, etc so it's left as generic language in this requirement."
TIME: Set MET,cTIME2019,"Upon receipt of a Command, the cFE shall update MET with the provided value.","Hardware and configuration dependent command allows the capability to set MET if it is supported.  If not utilizing a virtual MET, the hardware will reject the command if not supported."
TIME: Add to Source Time,cTIME2020,"Upon receipt of a Command, the cFE shall adjust timekeeping by adding the provided delta time.","Capability to adjust timekeeping independent of Tone and SCTF.  Used to tune a system given Tone, 1Hz, or MET external dependencies.  Timekeeping here remains abstract since it's dependent on configuration and mode governed by other requirements.  Delta time persists until removed (independent of other external updates)."
TIME: Subtract From Source Time,cTIME2021,"Upon receipt of a Command, the cFE shall adjust timekeeping by subtracting the provided delta time.","Capability to adjust timekeeping independent of Tone and SCTF. Used to tune a system given Tone, 1Hz, or MET external dependencies. Timekeeping here remains abstract since it's dependent on configuration and mode governed by other requirements. Delta time persists until removed (independent of other external updates)."
TIME: Provide TAI,cTIME2300,"Upon receipt of a Request, the cFE shall provide the TAI.",Need to make the TAI available to applications.
TIME: Provide UTC,cTIME2301,"Upon receipt of a Request, the cFE shall provide the UTC.",Need to make the UTC available to applications.
TIME: Provide Time in Default Format,cTIME2302,"Upon receipt of a Request, the cFE shall provide the current time computed in the default selection of UTC or TAI.",One of the mission defined selections is the choice of whether TAI or UTC will be the default time format.  And most callers do not care which time format is the current default.  This function avoids having to modify each individual caller when the default is requested.
TIME: Provide MET,cTIME2303,"Upon receipt of a Request, the cFE shall provide the MET.",Need to make the MET available to applications.
TIME: Provide MET Seconds,cTIME2304,"Upon receipt of a Request, the cFE shall provide the MET seconds.",Need to make the MET seconds available to applications.  This capability simplifies application logic.
TIME: Provide MET Sub-Seconds,cTIME2305,"Upon receipt of a Request, the cFE shall provide the MET sub-seconds.",Need to make the MET sub-seconds available to applications.  This capability simplifies application logic.
TIME: Provide STCF,cTIME2306,"Upon receipt of a Request, the cFE shall provide the STCF.",Need to make the STCF available to applications.
TIME: Provide Leap Seconds,cTIME2307,"Upon receipt of a Request, the cFE shall provide the Leap Seconds.",Need to make the Leap Seconds available to applications.
TIME: Provide Clock State,cTIME2308,"Upon receipt of a Request, the cFE shall provide the Clock State.","Need to make the Clock State available to applications.  Due to lack of a demonstrable use case, the requirement to provide clock state data as part of 'get time' functions has been deleted."
TIME: Add Values,cTIME2309,"Upon receipt of a Request, the cFE shall provide the result of adding the two requested time values.",Need to provide a common time addition function available to applications.
TIME: Subtract Values,cTIME2310,"Upon receipt of a Request, the cFE shall provide the result of subtracting the two requested time values.",Need to provide a common time subtraction function available to applications.
TIME: Compare Values,cTIME2311,"Upon receipt of a Request, the cFE shall provide the result of comparing the two requested time values.",Need to provide a common time comparison function available to applications.
TIME: Convert Sub-Seconds To Micro-Seconds,cTIME2312,"Upon receipt of a Request, the cFE shall provide the micro-second conversion of the requested sub-seconds value.",Converting elapsed time from sub-seconds to micro-seconds is a commonly used conversion utility.
TIME: Convert Micro-Seconds To Sub-Seconds,cTIME2313,"Upon receipt of a Request, the cFE shall provide the sub-second conversion of the requested micro-second value.",Abstract conversion support.
TIME: Provide Readable Format,cTIME2314,"Upon receipt of a Request, the cFE shall provide the requested time value in the following format: `yyyy-ddd-hh:mm:ss.xxxxx\0`",Converts the requested time value into a readable string format.
TIME: Tone Data Given MET,cTIME2315,"Upon receipt of a Request, the cFE shall update timekeeping based on the requested MET and provide a corresponding Tone Data message.",Trigger to create Tone Data message given external MET.
TIME: Tone Data Given Time and Leap Seconds,cTIME2316,"Upon receipt of a Request, the cFE shall update timekeeping based on the requested time and leap seconds and provide a corresponding Tone Data message.","Trigger to create Tone Data message given external time and leap seconds, typical of a GPS based timing system."
TIME: Tone Data Given Time,cTIME2317,"Upon receipt of a Request, the cFE shall update timekeeping based on the requested Time and provide a corresponding Tone Data message.",Trigger to create Tone Data message given external time.
TIME: Register Synchronization Callback,cTIME2318,"Upon receipt of a Request, the cFE shall register the requested function for callback upon receipt of Tone Signal.",Manage synchronization of calls at receipt of Tone Signal.
TIME: Unregister Synchronization Callback,cTIME2319,"Upon receipt of a Request, the cFE shall unregister the requested function for callback upon receipt of Tone Signal.",Manage synchronization of calls at receipt of Tone Signal.
TIME: Get Clock State Flags,cTIME2320,"Upon receipt of a Request, the cFE shall provide the clock state flags.",Provides clock state converted to flag values.
TIME: Convert MET to Spacecraft Time,cTIME2321,"Upon receipt of a Request, the cFE shall convert the provided MET to spacecraft time.",Converts the provided MET to spacecraft time based on current configuration of the system.
TIME: Trigger 1Hz Cycle Processing,cTIME2322,"Upon receipt of a Request, the cFE shall trigger the 1 Hz processing cycle.","Allows API triggered 1 Hz processing to support synchronization. Processing depends on configuration such as registered synchronization callbacks, virtualized MET, etc so it's left as generic language in this requirement."
TIME: Trigger Tone Signal Processing,cTIME2323,"Upon receipt of a Request, the cFE shall trigger the Tone Signal processing cycle.","Allows API triggered Tone Signal processing to support synchronization. Processing depends on configuration such as registered synchronization callbacks, virtualized MET, etc so it's left as generic language in this requirement."
TIME: Power On Reset Default Values,cTIME2500,"Upon a Power-on Reset the cFE shall set the following time elements to their `<MISSION_DEFINED>` default values:

- Time Status Data
- STCF
- Leap Seconds","At power on, the presumption is that the MET h/w register has been reset.  It is common to set the STCF and Leap Seconds at startup such that time is computed to a known and recognizable value."
TIME: Processor Reset CDS Values,cTIME2501,"Upon a Processor Reset the cFE shall acquire the following time elements from the `<MISSION_DEFINED>` Critical Data Store:

- Time Status Data
- STCF
- Leap Seconds","Time is a critical system resource and every effort should be made to preserve it.  Following a processor reset, the presumption is that the MET h/w register is unaffected and that previously 'good' values for STCF and Leap Seconds can still be used to correct."
TIME: Processor Reset Verify CDS,cTIME2502,Upon a Processor Reset the cFE shall verify the Critical Data Store used to store time values.,"Verification of potentially damaged stored data is a standard practice.  Note that because time can be any value, verification potentially involves using a pattern."
TIME: Processor Reset Verify CDS - Initialize On Failure,cTIME2502.1,"If the critical data store is not valid, all of the time elements shall be initialized in the same fashion as following a power-on reset.","If the CDS can't be trusted, initialize to default values."
TIME: CDS Elements,cTIME2700,"During normal operation, the cFE shall preserve the following time elements in the `<MISSION_DEFINED>` Critical Data Store:

- Time Status Data
- STCF
- Leap Seconds
- MET",Time is a critical system resource and every effort should be made to preserve it.  Preserving time allows applications to 'fly through' resets.
